msp_name	species	genus	family	order	class	phylum	superkingdom	knowledge
msp_1582	unclassified Butyricimonas	Butyricimonas	Marinifilaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1583	unclassified Bacilli RF39 CAG-611 CAG-877	Bacilli RF39 CAG-611 CAG-877	Bacilli RF39 CAG-611	Bacilli RF39	Bacilli	Firmicutes	Bacteria	unknown
msp_1584	Pseudoflavonifractor capillosus	Pseudoflavonifractor	Oscillospirales 6	Oscillospirales	Clostridia	Firmicutes	Bacteria	known
msp_1586	unclassified Lachnospiraceae B EuB	Lachnospiraceae B EuB	Lachnospiraceae B	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1587	unclassified Clostridia	unclassified Clostridia	unclassified Clostridia	unclassified Clostridia	Clostridia	Firmicutes	Bacteria	unknown
msp_1588	unclassified Dysosmobacter - Oscillibacter	Dysosmobacter - Oscillibacter	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1589	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unknown
msp_1590c	Holdemania sp. Marseille-P2844	Holdemania	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria	unknown
msp_1591	unclassified Clostridiales 1a	unclassified Clostridiales 1a	Clostridiales 1a	Clostridiales 1	Clostridia	Firmicutes	Bacteria	unknown
msp_1592	unclassified Clostridiales 1b	unclassified Clostridiales 1b	Clostridiales 1b	Clostridiales 1	Clostridia	Firmicutes	Bacteria	unknown
msp_1594	unclassified Bacilli RF39 CAG-822 CAG-884	Bacilli RF39 CAG-822 CAG-884	Bacilli RF39 CAG-822	Bacilli RF39	Bacilli	Firmicutes	Bacteria	unknown
msp_1595	unclassified Clostridiales 2a	unclassified Clostridiales 2a	Clostridiales 2a	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1596	Parolsenella catena	Parolsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria	unknown
